Student_ID,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,B_or_Higher,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1072,0,21,61.81,59.82,74.47,53.81,66.48,6.84,74.76,1,17.8,1,0,4,Low,1,6.8
S1073,1,21,95.42,64.86,44.91,55.06,82.91,0.65,90.1,1,19.8,1,1,2,High,4,7.3
S1075,0,18,82.81,64.68,68.19,66.92,57.48,1.3,63.49,0,16.1,0,1,1,Low,2,7.5
S1077,1,20,81.55,88.87,91.6,94.11,96.51,5.36,71.25,0,16.9,1,1,2,High,2,4.1
S1078,1,23,69.29,89.16,41.39,80.77,59.24,9.43,51.32,1,24.8,0,1,3,Medium,7,4.7
S1079,1,24,66.98,87.9,55.08,,84.75,6.95,94.17,1,14.9,0,1,2,Low,3,4.2
S1081,0,23,,87.98,42.12,70.51,55.98,1.61,77.46,0,10.8,0,1,3,Low,1,5.4
S1083,1,20,57.47,47.48,99.31,71.92,61.2,4.6,77.66,0,29.2,0,1,3,Medium,10,4.4
S1086,1,18,81.43,73.14,47.1,91.9,82.48,1.07,97.77,0,11.9,0,1,3,Medium,4,9.0
S1087,0,20,95.73,92.5,76.11,95.01,87.32,0.57,65.35,1,9.6,1,1,4,Medium,10,4.3
S1088,0,21,,99.36,99.07,73.48,83.84,3.77,62.91,0,26.8,0,1,4,High,2,8.2
S1089,0,23,,76.64,57.51,61.99,96.23,3.62,72.4,0,8.0,0,1,2,Medium,8,6.4
S1090,0,20,59.69,76.77,90.88,97.26,57.28,6.74,81.0,0,21.1,0,1,4,Medium,10,7.1
S1091,0,22,75.11,85.27,99.85,86.75,65.99,6.32,59.45,1,13.3,0,1,2,Medium,5,6.5
S1092,0,24,71.49,53.93,75.31,82.01,67.23,9.69,90.17,0,9.7,0,1,4,Medium,2,8.6
S1093,0,22,86.45,50.03,58.56,87.27,61.6,8.58,59.93,1,9.6,0,1,1,Low,9,6.4
S1094,1,22,,85.57,80.41,,57.11,4.97,50.27,0,26.8,0,1,1,High,6,4.8
S1095,1,23,79.72,60.69,90.69,53.38,74.34,5.0,76.21,0,26.5,1,1,1,Medium,8,7.9
S1096,0,19,94.19,48.1,50.28,57.66,91.72,6.74,55.76,1,11.8,0,1,1,Medium,2,6.6
S1098,0,22,97.94,61.52,59.15,71.03,56.47,10.0,58.37,1,26.7,0,1,4,Low,3,6.3
S1099,1,22,88.66,97.91,57.0,57.87,91.16,5.19,90.87,1,6.4,0,1,3,Medium,8,7.4
S1100,1,19,95.3,81.88,91.65,92.73,91.23,9.1,73.52,1,7.1,0,0,3,Medium,1,5.5
S1101,0,23,61.73,71.85,65.3,78.9,69.45,9.67,78.31,0,25.5,0,1,3,Low,9,8.6
S1102,1,24,59.88,98.13,60.34,68.41,55.5,5.82,59.33,0,25.4,0,1,1,Low,6,8.2
S1104,0,21,85.34,70.72,53.16,79.55,82.78,5.73,81.56,1,6.0,0,1,4,Medium,3,4.3
S1106,0,24,59.35,64.26,71.22,87.16,74.18,7.89,69.3,0,16.3,1,1,2,Medium,8,6.1
S1107,0,22,81.85,53.83,64.56,90.14,69.76,0.48,73.97,0,15.5,0,1,1,Low,3,7.6
S1111,0,21,98.51,79.54,89.0,65.39,51.19,1.91,71.59,1,25.2,0,1,4,Low,7,6.6
S1112,1,23,67.23,81.16,91.08,61.13,75.62,8.71,95.88,1,7.6,0,1,2,Medium,2,4.6
S1113,0,20,67.5,41.34,54.13,73.53,68.85,1.46,94.13,0,29.3,1,1,1,Low,1,6.4
S1116,1,20,50.07,51.46,64.52,95.28,68.21,9.6,73.87,0,5.5,1,1,3,Medium,7,6.3
S1117,0,21,,77.95,95.93,52.68,70.11,6.95,76.29,1,9.1,0,1,1,Low,9,7.2
S1118,1,24,87.59,73.13,94.18,54.18,51.15,3.99,67.06,1,15.5,0,1,1,High,2,6.8
S1123,1,19,50.8,99.88,94.47,66.61,65.66,7.55,85.53,0,18.7,1,1,4,High,3,8.5
S1124,1,21,78.12,90.31,95.87,64.02,58.16,8.35,96.31,0,9.8,1,1,4,Medium,5,8.5
S1125,0,24,56.19,73.45,43.11,86.82,78.87,7.81,88.18,0,11.6,0,1,2,High,5,5.5
S1127,1,20,87.77,80.89,73.85,97.75,63.55,7.58,54.37,1,13.0,0,1,2,High,1,5.7
S1128,1,18,50.48,96.26,63.43,86.22,81.07,2.1,74.52,0,22.1,0,1,4,Low,3,4.3
S1129,1,20,97.95,52.71,77.9,84.74,86.99,7.92,97.82,1,24.5,1,0,3,Low,6,7.9
S1130,1,22,75.76,55.36,96.84,84.71,86.98,3.22,90.95,1,12.7,1,1,1,Low,6,4.7
S1131,0,21,99.15,48.94,50.22,94.15,74.11,9.96,78.14,1,14.2,0,1,4,High,4,8.3
S1133,1,21,79.18,64.39,42.0,,89.38,2.93,85.69,0,25.5,0,1,3,Medium,10,5.4
S1135,0,24,92.17,92.5,60.26,61.44,57.61,6.59,96.75,1,27.2,0,1,3,Low,4,7.0
S1136,1,23,,73.46,65.85,95.6,83.23,1.09,80.61,0,9.7,1,1,4,Medium,10,7.5
S1140,0,20,50.84,67.33,59.84,65.62,66.24,0.46,81.41,0,16.6,0,1,2,Medium,5,8.2
S1143,0,22,62.72,86.41,53.97,83.34,79.55,3.7,93.99,1,24.5,1,1,4,Medium,9,6.8
S1144,0,18,71.6,80.47,58.88,55.68,55.33,2.73,78.35,0,28.7,0,1,2,High,9,7.2
S1146,0,24,79.4,71.72,44.76,75.77,51.79,3.01,86.67,0,27.5,0,1,2,Low,7,6.7
S1147,1,23,87.81,90.41,59.55,92.57,71.22,7.78,83.05,1,16.6,0,1,2,Medium,3,8.7
S1149,0,22,71.01,44.7,51.22,55.22,93.69,2.91,86.27,0,26.0,0,1,4,Low,1,4.5
S1150,1,18,54.41,73.37,50.79,53.72,81.65,3.05,70.38,0,19.7,0,1,1,Low,3,7.6
S1151,1,21,60.1,78.35,65.49,75.35,93.05,5.54,97.04,1,13.8,0,1,4,Medium,3,6.5
S1152,1,23,57.73,52.68,85.27,94.24,79.71,3.02,98.54,0,23.3,0,1,4,Low,5,6.1
S1156,0,24,53.66,50.14,53.0,91.29,59.65,1.69,84.13,0,13.4,0,1,1,High,7,8.6
S1157,0,20,79.99,85.08,85.4,90.37,70.87,1.79,53.75,1,29.3,0,1,2,Low,1,4.3
S1158,1,21,76.32,45.02,72.44,89.25,91.29,4.47,57.25,0,21.0,1,1,1,High,10,5.3
S1159,1,24,75.81,73.92,59.66,56.49,56.46,0.41,93.23,0,7.4,1,1,2,Low,8,8.5
S1160,1,24,93.66,73.11,52.34,69.86,56.45,4.78,94.69,1,29.2,0,1,1,Medium,1,8.0
S1162,0,20,52.04,90.67,65.76,99.44,77.6,0.12,66.99,0,22.4,1,1,4,Low,3,4.8
S1163,0,22,83.61,40.26,50.63,,62.59,3.65,72.55,1,11.3,0,1,2,Medium,7,8.1
S1164,1,22,,71.21,97.85,85.46,75.16,7.61,93.48,0,16.8,0,1,2,Medium,5,6.8
S1165,1,18,50.88,53.03,46.46,97.56,65.1,1.54,60.55,0,27.5,0,1,2,Medium,2,8.3
S1166,1,21,62.57,84.61,99.13,72.5,75.31,0.78,64.74,0,12.7,0,1,3,Low,1,8.6
S1168,1,19,80.84,89.89,65.39,83.45,99.0,0.1,96.76,1,11.4,1,1,3,Low,6,8.8
S1171,0,23,74.12,49.15,52.8,90.17,85.03,5.24,82.25,0,23.4,0,1,4,High,9,7.2
S1172,1,18,72.96,77.82,60.34,,74.53,7.4,61.54,0,7.3,0,1,2,Medium,2,5.5
S1174,0,23,,90.88,78.27,58.44,75.54,1.04,86.4,0,6.2,1,1,2,High,5,6.6
S1175,1,23,97.55,83.38,72.57,99.13,84.05,1.76,57.1,1,29.6,1,1,3,Low,10,8.7
S1178,0,24,71.52,45.66,69.9,97.77,50.9,1.98,59.58,1,9.7,0,0,3,Medium,5,7.4
S1180,1,18,93.97,57.48,72.48,91.81,57.51,7.09,56.04,1,17.6,1,1,4,Medium,3,8.7
S1182,0,20,61.93,91.43,77.97,55.09,58.79,3.92,60.9,1,8.9,1,0,4,High,7,8.8
S1183,1,24,59.96,84.0,83.36,80.78,69.71,8.65,75.25,0,14.2,0,1,2,Low,3,4.1
S1184,1,22,74.81,96.02,75.85,,85.6,4.46,57.06,0,20.2,0,1,3,Low,2,6.7
S1188,1,19,85.41,83.97,99.98,69.69,63.54,8.5,84.98,1,11.1,0,0,3,Low,2,6.8
S1189,0,20,88.93,84.19,42.02,68.64,70.95,8.19,54.75,1,7.8,1,0,1,Low,5,5.8
S1190,0,18,78.2,41.1,63.71,,68.23,3.05,97.67,0,18.0,1,0,3,Medium,7,4.3
S1194,0,24,86.43,47.33,65.56,52.45,51.49,0.26,58.9,1,10.5,0,1,3,Low,1,7.8
S1195,1,18,67.25,72.57,88.07,54.32,72.0,0.54,98.1,0,20.8,0,1,4,Low,8,4.6
S1197,0,24,62.89,52.08,55.39,84.4,82.99,2.79,84.62,0,19.4,0,1,3,High,7,4.1
S1198,0,23,62.25,69.1,55.07,76.28,67.77,1.44,75.37,0,17.0,0,1,1,High,10,6.6
S1199,1,20,85.74,76.45,76.97,93.8,57.3,9.41,95.13,1,14.5,1,1,2,Medium,4,6.5
S1200,0,22,76.07,49.61,88.9,74.93,98.19,1.21,69.03,0,21.0,1,1,4,High,2,4.6
S1201,0,23,84.16,86.71,67.14,61.09,50.7,6.74,75.93,0,26.4,0,1,4,Low,8,5.7
S1202,0,22,63.47,57.96,62.75,90.26,84.07,8.94,87.12,1,13.4,0,1,3,Low,4,6.7
S1203,1,24,79.94,52.66,98.41,64.72,94.01,1.64,52.38,1,17.2,0,1,2,Low,8,7.4
S1204,0,24,72.2,73.5,47.01,96.78,51.26,2.15,52.72,0,16.4,0,1,2,Low,9,8.0
S1206,1,24,64.54,95.22,64.51,58.39,99.94,5.08,57.32,0,15.5,0,1,3,Low,8,4.2
S1207,0,20,85.77,92.8,45.89,74.67,81.98,5.21,50.32,1,5.5,0,1,4,Medium,4,6.9
S1209,1,24,63.0,61.56,41.71,51.82,93.72,9.5,89.8,0,23.0,1,1,4,High,1,6.8
S1211,0,21,83.06,56.05,76.47,60.76,87.47,7.6,72.05,0,23.7,1,1,3,Low,10,5.4
S1215,0,22,69.64,51.41,82.05,69.71,53.94,4.46,81.24,1,15.1,0,1,2,Low,8,5.1
S1216,0,20,69.74,68.53,94.48,56.77,55.33,8.04,63.66,0,21.0,1,1,4,Low,10,4.7
S1218,1,23,57.84,82.08,59.86,,71.06,2.76,58.92,0,29.7,0,1,3,Low,9,5.2
S1219,0,19,,71.1,82.54,83.78,58.93,3.73,52.18,1,22.7,0,1,3,Low,1,4.2
S1221,1,18,96.89,58.03,98.85,56.88,87.5,7.62,78.18,1,9.7,0,1,4,High,8,8.1
S1224,0,24,95.33,92.19,47.15,73.44,62.79,5.84,88.34,1,20.7,1,1,4,Medium,8,4.2
S1225,0,24,70.43,62.6,96.76,59.78,73.75,5.07,92.23,1,8.3,0,1,3,Medium,2,7.6
S1228,1,22,51.08,46.25,96.03,87.15,54.08,4.45,75.5,0,29.8,0,1,3,Medium,7,6.1
S1229,1,22,89.24,89.89,46.27,,85.42,9.71,92.8,1,28.9,0,1,1,High,4,6.6
S1231,1,18,99.43,41.94,77.52,94.76,77.95,9.05,71.06,1,11.9,0,1,3,Medium,5,5.0
S1233,1,21,87.67,78.14,60.32,76.75,76.96,3.68,50.67,1,18.9,1,1,2,Low,7,6.9
S1234,0,22,62.29,79.76,49.0,85.68,75.14,8.53,94.93,0,24.1,0,1,1,Medium,7,8.1
S1236,0,21,52.16,83.21,68.63,52.0,73.03,7.04,88.34,0,18.1,0,1,4,Low,5,6.6
S1239,0,22,84.87,74.51,60.98,,54.87,5.79,97.05,0,22.1,0,1,2,Medium,9,6.1
S1242,1,19,74.07,41.09,49.53,97.18,62.25,3.94,87.98,0,14.4,1,1,4,High,3,5.4
S1243,1,21,58.46,61.99,99.95,,60.55,6.54,67.05,0,14.5,0,1,1,Low,6,7.3
S1244,1,21,86.47,83.73,57.71,,86.77,4.66,78.18,1,17.9,0,0,1,Low,7,4.7
S1245,1,21,61.88,65.63,64.33,65.91,90.93,5.93,63.51,1,19.6,0,0,2,Low,1,7.6
S1247,0,18,78.37,43.96,78.51,83.74,65.26,4.61,79.97,1,25.5,0,1,1,Low,8,8.9
S1248,0,22,64.25,78.92,62.12,,92.2,5.56,62.17,1,25.9,1,1,2,Medium,5,4.6
S1249,1,22,,97.89,93.9,91.11,81.2,4.93,94.99,1,8.3,0,1,4,Medium,5,7.8
S1251,1,20,58.96,70.41,53.67,,85.68,3.11,74.75,0,29.6,0,1,2,Medium,8,8.0
S1252,0,18,54.11,59.1,78.62,84.32,67.23,8.84,51.72,0,20.0,0,1,2,Medium,7,5.7
S1254,0,19,71.22,41.26,69.79,71.99,99.63,6.95,97.61,0,26.5,1,1,2,High,6,5.7
S1255,0,21,77.13,56.38,84.02,98.19,65.08,0.87,78.13,0,26.7,0,1,4,High,9,7.8
S1256,0,22,68.62,66.95,98.27,81.29,96.53,2.0,72.13,1,5.4,0,0,1,Low,2,8.0
S1259,1,18,71.59,83.06,54.67,86.23,73.0,9.69,78.73,0,21.7,0,1,3,Low,3,4.6
S1260,1,18,69.11,93.68,75.71,79.59,89.16,1.91,56.4,1,20.8,0,1,2,High,10,4.1
S1262,1,21,98.31,77.08,97.45,,81.36,5.16,58.8,1,25.2,0,1,4,Medium,3,8.2
S1263,1,20,75.52,43.17,64.32,62.63,88.03,5.65,87.28,0,23.8,1,1,3,Low,7,8.5
S1265,1,24,65.11,46.61,82.1,63.35,55.26,3.65,61.3,0,24.5,0,1,4,Medium,1,8.0
S1266,1,23,51.54,80.18,71.45,61.53,62.24,1.56,77.89,0,10.0,1,1,4,High,4,6.0
S1270,1,20,,84.29,92.05,56.48,78.02,8.78,66.53,0,27.2,0,1,4,High,3,7.0
S1272,0,23,66.91,55.7,62.89,74.18,70.61,2.33,86.16,0,11.2,0,1,4,Medium,8,4.7
S1273,0,22,,95.49,47.66,57.3,66.84,3.34,85.63,0,22.4,1,1,2,Low,2,8.7
S1274,1,18,64.81,50.77,88.98,73.26,82.78,8.47,63.45,1,6.4,1,0,4,Medium,5,4.0
S1277,0,23,85.7,47.81,83.72,97.89,59.61,0.13,70.07,1,29.9,0,1,3,High,3,7.5
S1278,1,22,80.6,89.6,64.65,68.1,78.88,2.46,64.38,0,11.0,0,1,1,Medium,3,4.5
S1281,1,20,68.45,55.74,45.01,89.74,58.61,4.94,50.85,0,12.2,1,1,2,Medium,8,8.4
S1282,0,19,79.61,93.08,71.82,62.72,66.78,6.61,72.8,0,12.4,1,1,1,Medium,1,5.8
S1284,1,24,60.74,79.97,60.39,93.11,74.97,2.81,98.04,0,14.1,1,1,3,Low,2,7.4
S1285,1,19,55.82,61.92,78.67,67.87,96.65,6.84,53.93,0,16.0,0,1,2,Medium,9,8.4
S1286,1,24,,43.56,41.63,78.37,60.64,5.38,64.06,1,18.0,0,1,3,Medium,7,8.9
S1288,1,21,81.26,50.25,57.01,70.06,66.49,6.7,58.52,1,21.6,1,1,4,Low,7,7.0
S1289,1,22,74.52,62.34,80.17,81.98,61.8,6.2,55.84,0,21.2,0,1,2,Medium,8,6.2
S1290,1,18,93.63,76.02,48.49,73.66,99.66,0.79,72.62,1,29.1,1,1,1,Low,2,4.8
S1291,0,22,77.35,68.94,84.15,51.06,69.36,7.48,79.04,1,8.3,0,1,1,Medium,10,8.0
S1292,1,19,74.04,51.92,78.74,90.72,97.03,5.22,91.01,1,5.8,0,1,1,Medium,1,7.9
S1294,1,21,,47.39,94.67,73.2,60.2,5.59,88.71,0,15.6,1,1,3,Medium,3,4.4
S1295,1,24,55.58,91.78,57.0,79.0,55.96,5.95,61.07,0,10.3,1,1,4,Medium,2,5.2
S1296,1,22,58.89,41.89,41.64,85.28,92.78,9.2,87.4,0,10.4,0,1,3,Medium,3,8.1
S1297,0,22,89.36,98.62,79.32,70.54,51.6,7.42,76.86,1,26.7,0,0,4,Medium,4,6.0
S1298,1,20,91.79,51.91,76.17,86.78,98.22,3.02,72.54,1,13.1,0,1,2,Low,5,6.4
S1300,0,23,77.72,74.62,47.36,82.67,62.37,8.53,85.1,1,22.1,0,1,1,High,10,6.0
S1301,0,24,81.6,44.8,75.08,91.32,80.87,8.46,84.08,0,13.5,0,1,1,Medium,4,4.2
S1302,0,22,71.96,76.15,94.71,94.47,56.65,1.75,50.59,0,18.9,1,1,4,Medium,8,7.0
S1303,1,22,84.01,91.04,94.39,,53.61,0.62,93.25,1,18.1,0,1,3,Low,6,5.1
S1304,0,23,55.42,42.87,49.09,65.64,91.39,7.12,89.67,0,11.5,0,1,2,Low,7,8.8
S1305,1,24,98.06,87.99,63.07,58.17,71.23,7.23,64.95,1,22.9,1,0,4,Medium,4,7.5
S1306,0,19,87.51,63.67,42.59,67.28,75.91,1.77,64.61,1,25.9,0,1,1,Low,7,8.2
S1307,0,19,81.56,49.57,68.16,77.0,58.83,6.68,52.67,0,24.6,1,1,4,Low,5,8.8
S1313,1,22,69.13,42.34,95.93,89.47,89.13,4.99,67.44,0,27.3,0,1,2,Medium,4,8.7
S1314,1,18,80.66,67.87,53.78,62.27,55.77,2.98,69.0,1,23.6,1,1,4,Low,7,6.3
S1315,1,24,90.69,89.05,59.19,76.19,53.2,8.84,66.36,1,12.8,0,1,2,Medium,5,6.3
S1316,1,24,51.31,83.57,84.81,70.3,57.94,0.55,54.62,0,12.6,0,1,1,Low,7,8.4
S1317,1,22,72.53,69.33,84.01,59.83,88.6,7.97,51.57,1,13.1,0,1,3,Low,1,5.4
S1319,0,18,77.31,47.22,63.29,99.68,57.07,2.54,97.15,1,11.0,0,1,3,Low,2,5.7
S1320,1,20,82.57,94.6,70.88,68.26,51.55,1.98,95.86,0,21.3,0,1,4,Low,6,4.6
S1321,1,18,75.83,90.79,68.04,77.62,84.26,8.75,90.49,1,25.9,0,1,2,High,2,5.8
S1323,1,18,52.73,89.07,86.16,93.85,87.71,0.46,92.81,0,6.5,1,1,3,Medium,5,6.6
S1324,0,19,74.55,72.63,89.89,,60.14,8.91,75.75,0,24.0,0,1,4,Low,8,6.6
S1325,0,24,54.57,80.51,47.99,58.94,79.19,3.49,59.01,0,5.5,0,1,3,Medium,5,6.2
S1326,1,21,57.99,73.64,87.51,95.0,87.87,3.42,84.21,0,25.8,0,1,1,Medium,2,4.9
S1329,1,21,98.18,55.45,43.61,82.65,65.72,3.53,62.57,1,18.6,0,1,2,Medium,8,4.6
S1330,1,22,97.34,66.42,80.67,69.3,61.28,1.43,63.27,1,14.0,1,1,4,Low,10,5.5
S1331,1,21,66.81,56.85,62.32,76.54,98.48,5.52,54.95,0,27.5,1,1,4,Medium,1,4.0
S1333,0,21,76.69,59.31,84.06,52.64,72.28,8.6,69.2,0,7.0,0,1,4,Medium,8,6.4
S1334,1,18,90.78,91.12,41.3,64.65,56.84,4.84,96.99,1,28.3,0,1,4,Medium,1,4.9
S1336,1,22,50.01,84.88,51.54,63.33,62.79,0.54,97.3,0,8.7,0,1,1,Low,9,5.8
S1337,0,23,88.16,50.51,65.35,52.45,58.43,8.95,56.03,1,24.3,0,1,1,High,8,4.2
S1338,1,23,87.34,65.47,77.48,54.33,69.08,3.27,51.4,1,17.9,0,1,2,Low,10,5.1
S1339,1,20,75.49,46.89,92.36,90.09,76.49,6.32,55.49,0,21.8,0,1,1,Medium,7,7.9
S1340,0,24,95.15,48.32,67.37,95.57,54.87,9.16,95.71,1,22.4,0,1,1,Low,6,5.7
S1342,0,23,76.2,76.45,86.98,,50.77,6.38,78.63,0,29.3,0,1,1,Medium,6,5.0
S1343,1,21,80.4,52.8,64.87,82.61,94.59,7.04,61.38,0,7.6,1,1,1,Low,1,8.9
S1344,0,24,99.83,68.47,70.06,97.71,96.04,9.21,51.03,1,20.1,1,1,1,Medium,1,4.7
S1345,0,23,64.94,91.8,82.03,64.98,86.65,8.12,54.23,1,8.7,0,1,3,Medium,9,8.5
S1346,0,24,66.23,50.45,41.87,92.76,73.33,6.1,85.49,1,26.9,1,1,1,High,6,4.4
S1347,0,21,59.14,41.15,93.45,75.3,62.74,6.59,59.12,0,9.3,0,1,3,High,3,8.4
S1349,0,21,87.22,43.21,54.96,56.81,96.59,4.7,68.86,1,7.2,1,0,1,Low,3,7.0
S1350,0,24,55.28,98.8,98.87,,57.93,3.01,82.86,0,16.2,0,1,4,Medium,9,5.2
S1351,0,22,99.09,76.58,50.76,72.05,73.29,4.32,73.47,1,5.1,0,1,3,Low,5,8.5
S1352,0,22,86.55,68.22,94.85,97.65,65.76,6.62,97.23,1,16.1,1,1,1,Medium,1,6.9
S1353,1,20,92.53,65.8,59.47,72.93,67.84,1.49,71.71,1,22.2,1,0,4,Low,5,7.4
S1354,1,23,,74.38,85.79,76.5,70.29,0.17,59.96,1,9.6,0,1,2,Medium,10,6.8
S1355,0,18,75.25,45.44,67.38,90.24,97.59,3.97,76.81,0,18.8,0,1,3,Medium,2,4.6
S1358,0,23,83.33,51.04,56.17,70.85,97.57,9.31,96.76,1,21.8,1,1,4,Low,10,5.5
S1359,0,19,,73.75,45.99,89.62,73.8,7.07,91.81,1,29.9,1,0,3,Low,4,7.3
S1361,0,24,92.43,41.05,57.78,50.49,52.94,1.79,60.81,1,29.3,0,1,1,High,5,8.7
S1363,0,24,63.54,78.91,89.21,93.3,59.38,6.58,69.3,1,11.4,1,1,1,High,2,7.3
S1366,1,24,69.0,76.21,93.58,94.75,72.22,0.29,78.87,0,14.1,0,1,3,High,6,6.2
S1369,1,22,71.84,73.24,83.73,98.24,62.53,7.88,59.7,0,11.9,1,1,1,Medium,1,8.1
S1374,1,18,82.07,98.57,95.11,77.84,91.22,7.17,78.79,1,11.3,1,1,2,Low,4,4.7
S1377,1,20,86.13,92.04,67.57,54.67,71.17,3.38,61.02,1,16.0,0,1,3,Medium,9,6.5
